Node,Size,Mass,Color,Real Mass (kg)
Sun,100,5,#F78336,"1,988,500,000,000,000,000,000,000,000,000"
Mercury,50,3,#A0A1A0,3.3E+23
Venus,50,3,#D4B05F,4.87E+24
Earth,50,3,#7A8961,5.97E+24
Mars,50,3,#EE7D58,6.42E+23
Jupiter,50,3,#B2742F,"1,898,190,000,000,000,000,000,000,000.00"
Saturn,50,3,#F0D288,5.68E+26
Uranus,50,3,#BAE1E2,8.68E+25
Neptune,50,3,#4575FC,1.02E+26
Ceres,30,2,#8b867e,"947,000,000,000,000,000,000"
Pluto,30,2,#c8bbad,1.3E+22
Eris,30,2,#635c59,1.65E+22
Haumea,30,2,#a6a19f,4.01E+21
Makemake,30,2,#b48066,3.1E+21
Moon,10,1,#7A8961,7.35E+22
Deimos,10,1,#EE7D58,2.4E+15
Phobos,10,1,#EE7D58,1.06E+16
Adrastea,10,1,#EE7D58,2E+16
Aitne,10,1,#EE7D58,"44,960,052,992,916"
Amalthea,10,1,#EE7D58,7.5E+18
Ananke,10,1,#EE7D58,4E+16
Aoede,10,1,#EE7D58,"89,920,105,985,832"
Arche,10,1,#EE7D58,"44,960,052,992,916"
Autonoe,10,1,#EE7D58,"89,920,105,985,832"
Callirrhoe,10,1,#EE7D58,
Callisto,10,1,#EE7D58,1.08E+23
Carme,10,1,#EE7D58,1E+17
Carpo,10,1,#EE7D58,"44,960,052,992,916"
Chaldene,10,1,#EE7D58,"74,933,421,654,860"
Cyllene,10,1,#EE7D58,"14,986,684,330,972"
Dia,10,1,#EE7D58,
Eirene,10,1,#EE7D58,
Elara,10,1,#EE7D58,8E+17
Erinome,10,1,#EE7D58,"44,960,052,992,916"
Ersa,10,1,#EE7D58,
Euanthe,10,1,#EE7D58,
Eukelade,10,1,#EE7D58,
Eupheme,10,1,#EE7D58,
Euporie,10,1,#EE7D58,
Europa,10,1,#EE7D58,4.8E+22
Eurydome,10,1,#EE7D58,
Ganymede,10,1,#EE7D58,1.48E+23
Harpalyke,10,1,#EE7D58,
Hegemone,10,1,#EE7D58,
Helike,10,1,#EE7D58,
Hermippe,10,1,#EE7D58,
Herse,10,1,#EE7D58,
Himalia,10,1,#EE7D58,9.5E+18
Io,10,1,#EE7D58,8.93E+22
Iocaste,10,1,#EE7D58,
Isonoe,10,1,#EE7D58,
Jupiter LI,10,1,#EE7D58,
Jupiter LII,10,1,#EE7D58,
Kale,10,1,#EE7D58,
Kallichore,10,1,#EE7D58,
Kalyke,10,1,#EE7D58,
Kore,10,1,#EE7D58,
Leda,10,1,#EE7D58,6E+15
Lysithea,10,1,#EE7D58,8E+16
Megaclite,10,1,#EE7D58,
Metis,10,1,#EE7D58,1E+17
Mneme,10,1,#EE7D58,
Orthosie,10,1,#EE7D58,
Pandia,10,1,#EE7D58,
Pasiphae,10,1,#EE7D58,3E+17
Pasithee,10,1,#EE7D58,
Philophrosyne,10,1,#EE7D58,
Praxidike,10,1,#EE7D58,
Sinope,10,1,#EE7D58,8E+16
Sponde,10,1,#EE7D58,
Taygete,10,1,#EE7D58,
Thebe,10,1,#EE7D58,8E+17
Thelxinoe,10,1,#EE7D58,
Themisto,10,1,#EE7D58,
Thyone,10,1,#EE7D58,
Aegaeon,10,1,#F0D288,
Aegir,10,1,#F0D288,
Alborix,10,1,#F0D288,
Anthe,10,1,#F0D288,
Atlas,10,1,#F0D288,7E+15
Bebhionn,10,1,#F0D288,
Bergelmire,10,1,#F0D288,
Bestla,10,1,#F0D288,
Calypso,10,1,#F0D288,4E+15
Daphnis,10,1,#F0D288,1E+14
Dione,10,1,#F0D288,1.1E+21
Enceladus,10,1,#F0D288,1.08E+20
Epimetheus,10,1,#F0D288,5.3E+17
Erriapus,10,1,#F0D288,
Farbauti,10,1,#F0D288,
Fenrir,10,1,#F0D288,
Fornjot,10,1,#F0D288,
Greip,10,1,#F0D288,
Hati,10,1,#F0D288,
Helene,10,1,#F0D288,3E+16
